Source,Target,Type,Id,Label,Weight
Google Sheets,Целеустремленность и работоспособность,Undirected,82,,7
Знание английского языка,Управление и планирование продаж,Undirected,83,,5
Знание нормативно-правовых документов,Разработка нормативной документации,Undirected,84,,4
Canva,Аналитическое мышление,Undirected,85,,1
Управление ассортиментом,Системный анализ,Undirected,86,,1
Составление договоров,Работа в команде,Undirected,88,,3
Работа в команде,Экономический анализ,Undirected,89,,1
Бюджетирование,Оптимизация бизнес-процессов,Undirected,90,,8
Управление продуктом,Аудит информационных систем и безопасности,Undirected,91,,1
Работа с маркетплейсами,Разработка маркетинговых стратегий,Undirected,92,,15
Проведение маркетинговых исследований,Коучинг и проведение тренингов,Undirected,93,,3
Microsoft Excel,Управление и планирование продаж,Undirected,94,,3
Google Analytics,Научно-исследовательская работа,Undirected,95,,28
Организация и управление бизнес-процессами,Умение принимать решения,Undirected,96,,3
BPMN,Применение методологии IDEF,Undirected,97,,7
Аналитическое мышление,Управление проектами,Undirected,98,,554
Базовые знания ПК,Информационная грамотность,Undirected,99,,58
Моделирование рисков,Знание нормативно-правовых документов,Undirected,100,,3
QUIK,Организаторские навыки,Undirected,101,,2
Анализ рынка,Самоорганизованность,Undirected,103,,17
Grafana,Публичные выступления и проведение презентаций,Undirected,104,,2
Коммуникативная грамотность,Умение принимать решения,Undirected,105,,18
Разработка пользовательских сценариев,Знание банковских продуктов и услуг,Undirected,107,,2
ARIS,Microsoft PowerPoint,Undirected,108,,3
Microsoft Dynamics AX,Microsoft Outlook,Undirected,109,,2
Продажи,WordPress,Undirected,110,,2
Базовая инструментальная грамотность,Работа с поставщиками,Undirected,111,,1
Ведение финансовой отчетности,Финансовый анализ,Undirected,112,,2
amoCRM,Продвижение в социальных сетях,Undirected,113,,1
Организаторские навыки,Бюджетирование,Undirected,114,,26
Kubernetes,Научно-исследовательская работа,Undirected,115,,4
Управление и планирование продаж,Лидерство и управление персоналом,Undirected,116,,24
Управление рисками,QA / Тестирование,Undirected,117,,4
Веб-дизайн,Подготовка пресс-релизов,Undirected,119,,2
Аналитическое мышление,Microsoft Office,Undirected,121,,17
Научно-исследовательская работа,Знание испанского языка,Undirected,122,,5
Анализ конкурентной среды,Разработка программного обеспечения,Undirected,123,,1
Базовые знания ПК,Работа в команде,Undirected,125,,56
Работа с системами мониторинга,Управление проектами,Undirected,126,,2
Научно-исследовательская работа,Продвижение в социальных сетях,Undirected,127,,34
Microsoft PowerPoint,Многозадачность,Undirected,128,,22
Разработка пользовательских сценариев,Работа в команде,Undirected,129,,4
AutoCAD,Проектно-конструкторская деятельность,Undirected,130,,5
UI/UX Дизайн,Аналитическое мышление,Undirected,131,,25
Клиентоориентированность,Подготовка коммерческих предложений,Undirected,132,,3
Знание нормативно-правовых документов,Бюджетирование,Undirected,133,,9
Microsoft PowerPoint,Работа в команде,Undirected,134,,26
Работа в команде,Контроль качества,Undirected,135,,1
Информационная грамотность,Информационная грамотность,Undirected,136,,62
Знание английского языка,Продажи,Undirected,137,,54
Анализ данных,Математический анализ,Undirected,138,,5
Креативное мышление,Знание банковских продуктов и услуг,Undirected,139,,2
Разработка проектной документации,Чтение технической документации,Undirected,140,,1
Разработка маркетинговых стратегий,QA / Тестирование,Undirected,141,,2
Ведение документооборота,Ведение документооборота,Undirected,142,,23
Научно-исследовательская работа,Разработка сметной документации,Undirected,144,,1
Обеспечение информационной безопасности,Лидерство и управление персоналом,Undirected,145,,2
Логическое мышление,Публичные выступления и проведение презентаций,Undirected,146,,23
Разработка конструкторской документации,Конструирование и сборка электроприборов,Undirected,147,,4
Продвижение в социальных сетях,Креативное мышление,Undirected,149,,2
Работа с маркетплейсами,Ведение управленческой отчетности,Undirected,150,,1
Microsoft Project,YouGile,Undirected,151,,1
Adobe Photoshop,Публичные выступления и проведение презентаций,Undirected,152,,6
Продвижение в социальных сетях,Веб-дизайн,Undirected,153,,3
SWOT- и PEST-анализ,Оптимизация бизнес-процессов,Undirected,154,,3
Управление продуктом,Ведение управленческой отчетности,Undirected,155,,1
Анализ конкурентной среды,Базовые знания ПК,Undirected,156,,23
Работа в системах управления проектами,Confluence,Undirected,159,,25
Разработка программного обеспечения,Системное и интегративное мышление,Undirected,161,,1
1С: ERP,Системное и интегративное мышление,Undirected,162,,2
Мобильная разработка (Android),Целеустремленность и работоспособность,Undirected,163,,1
PostgreSQL,Научно-исследовательская работа,Undirected,164,,10
Canva,Научно-исследовательская работа,Undirected,165,,1
Microsoft Office,Базовые знания ПК,Undirected,166,,1
Научно-исследовательская работа,Клиентоориентированность,Undirected,167,,16
DAX,Анализ конкурентной среды,Undirected,168,,2
Microsoft Excel,Знание русского языка,Undirected,169,,2
Знание английского языка,Химический анализ,Undirected,170,,2
Проведение A/B тестирования,Проведение маркетинговых исследований,Undirected,171,,31
Публичные выступления и проведение презентаций,CAD/САПР,Undirected,172,,8
Работа в системах управления проектами,Знание основ в области маркетинга,Undirected,173,,5
1С,Проведение маркетинговых исследований,Undirected,174,,4
Многозадачность,Самоорганизованность,Undirected,175,,50
Финансовый анализ,Проведение маркетинговых исследований,Undirected,177,,11
Работа в CRM-системах,Контроль качества,Undirected,178,,4
CorelDRAW,Коммуникативная грамотность,Undirected,179,,2
Canva,Публичные выступления и проведение презентаций,Undirected,180,,1
Microsoft Visio,Логическое мышление,Undirected,181,,2
Знание основ в области маркетинга,Участие в профессиональных выставках,Undirected,182,,17
Организация и проведение рекламных кампаний,Организация и проведение рекламных кампаний,Undirected,184,,2
MATLAB,Работа в команде,Undirected,185,,1
Системный анализ,Управление складом,Undirected,186,,1
Microsoft Project,Проектно-конструкторская деятельность,Undirected,187,,5
Поисковая оптимизация сайтов (SEO),Анализ потребителей,Undirected,188,,2
Grafana,Аналитическое мышление,Undirected,189,,2
TIA Portal,Работа в команде,Undirected,190,,9
Работа с ERP-системами,Разработка 1С,Undirected,191,,4
Анализ рынка,Купля-продажа финансовых активов,Undirected,192,,2
Применение метода Customer Development,Разработка пользовательских сценариев,Undirected,193,,7
Управление проектами,QUIK,Undirected,194,,4
Применение методов BTL,Лидерство и управление персоналом,Undirected,195,,2
Анализ потребителей,Разработка стратегии,Undirected,196,,16
Javascript,PostgreSQL,Undirected,198,,5
Поиск и привлечение новых клиентов,Консультирование и ведение клиентов,Undirected,199,,1
Анализ конкурентной среды,Разработка маркетинговых стратегий,Undirected,200,,107
CorelDRAW,Создание и дистрибуция контента,Undirected,201,,1
Microsoft Excel,Организация и проведение рекламных кампаний,Undirected,202,,1
Tableau,Анализ данных,Undirected,203,,4
Сбор и анализ требований,Работа в команде,Undirected,204,,2
Microsoft Excel,Базовая инструментальная грамотность,Undirected,205,,39
Написание и редактирование текстов,Обучаемость и адаптивность,Undirected,206,,11
Знание английского языка,Умение принимать решения,Undirected,207,,3
Коммуникативная грамотность,Работа с оргтехникой,Undirected,208,,8
MATLAB,Знание базовых принципов разработки,Undirected,209,,2
Битрикс,Коммуникативная грамотность,Undirected,210,,23
Simatic WinCC,TIA Portal,Undirected,211,,18
Аналитическое мышление,Организация учебного процесса,Undirected,213,,1
Управление проектами,Обеспечение информационной безопасности,Undirected,214,,6
Коммуникативная грамотность,Базовые знания ПК,Undirected,215,,84
MATLAB,Чтение технической документации,Undirected,216,,1
Проведение A/B тестирования,Маркетинг,Undirected,217,,7
Microsoft Power BI,Qlik Sense,Undirected,218,,2
Microsoft PowerPoint,Обучаемость и адаптивность,Undirected,219,,10
Продвижение продукта,Работа в команде,Undirected,220,,11
Google Analytics,UML,Undirected,221,,1
Анализ ценообразования,Научно-исследовательская работа,Undirected,222,,73
Знания в области логистики,Управление проектами,Undirected,223,,6
Проведение валютных операций,Организаторские навыки,Undirected,224,,4
Работа в системах управления проектами,Бюджетирование,Undirected,225,,1
Публичные выступления и проведение презентаций,Управление рисками,Undirected,226,,2
Проведение A/B тестирования,Google Docs,Undirected,227,,1
Научно-исследовательская работа,Коучинг и проведение тренингов,Undirected,228,,15
IBM SPSS Statistics,Аналитическое мышление,Undirected,229,,11
Составление договоров,Лидерство и управление персоналом,Undirected,230,,10
Знание английского языка,DevOps,Undirected,231,,2
Моделирование рисков,Научно-исследовательская работа,Undirected,232,,8
Apache Kafka,Научно-исследовательская работа,Undirected,233,,2
Обучаемость и адаптивность,Коучинг и проведение тренингов,Undirected,234,,8
Поисковая оптимизация сайтов (SEO),Проведение процедуры банкротства,Undirected,235,,1
Знание нормативно-правовых документов,Логическое мышление,Undirected,236,,3
Управление продуктом,Целеустремленность и работоспособность,Undirected,237,,63
Научно-исследовательская работа,Разработка проектной документации,Undirected,238,,12
Microsoft PowerPoint,Подготовка коммерческих предложений,Undirected,239,,2
Microsoft PowerPoint,Ведение отчетности,Undirected,240,,2
Формирование технических заданий,UI/UX Дизайн,Undirected,241,,8
Проведение A/B тестирования,Самостоятельность,Undirected,243,,1
Работа в системах управления проектами,Microsoft Office,Undirected,244,,1
Анализ конкурентной среды,QA / Тестирование,Undirected,245,,2
Работа с маркетплейсами,Составление договоров,Undirected,246,,2
Лидерство,Коучинг и проведение тренингов,Undirected,247,,4
Численные расчеты,Simulink,Undirected,248,,1
Подготовка коммерческих предложений,Работа в команде,Undirected,249,,3
Креативное мышление,Публичные выступления и проведение презентаций,Undirected,250,,31
Управление продуктом,Apache Kafka,Undirected,251,,2
Обучаемость и адаптивность,Продвижение продукта,Undirected,252,,8
MySQL,Моделирование рисков,Undirected,253,,3
Microsoft PowerPoint,Экспедирование и транспортная логистика,Undirected,254,,2
Аналитическое мышление,Креативное мышление,Undirected,255,,41
Анализ потребителей,Разработка маркетинговых стратегий,Undirected,256,,15
Финансовый анализ,Логическое мышление,Undirected,257,,2
Организация и управление бизнес-процессами,Расчетно-кассовое и операционное обслуживание,Undirected,258,,3
Продвижение продукта,Информационная грамотность,Undirected,260,,8
Знание нормативно-правовых документов,Ведение отчетности,Undirected,261,,1
Многозадачность,Статистическая обработка данных,Undirected,262,,2
Знание нормативно-правовых документов,Системное и интегративное мышление,Undirected,263,,5
Знание основ в области маркетинга,Microsoft Outlook,Undirected,264,,1
Работа с поставщиками,Лидерство,Undirected,265,,1
Электролиз,Знания в области материаловедения,Undirected,266,,2
UI/UX Дизайн,Системный анализ,Undirected,267,,2
Confluence,UML,Undirected,268,,6
Анализ конкурентной среды,Ведение документооборота,Undirected,269,,3
Google Docs,Анализ потребителей,Undirected,270,,1
Знания в области логистики,Бюджетирование,Undirected,271,,3
Критическое мышление,Управление проектами,Undirected,272,,11
Выполнение производственного технического контроля,Создание презентационных материалов,Undirected,273,,9
Анализ данных,Взаимодействие с клиентами и заказчиками,Undirected,274,,3
Расчетно-кассовое и операционное обслуживание,Оптимизация бизнес-процессов,Undirected,275,,1
Анализ данных,Креативное мышление,Undirected,276,,18
Написание и редактирование текстов,Управление лояльностью клиентов,Undirected,277,,6
Разработка нормативной документации,Разработка нормативной документации,Undirected,278,,2
Математическое моделирование,Управление проектами,Undirected,279,,5
Составление карты пути клиента (CJM),Целеустремленность и работоспособность,Undirected,281,,2
GameDev,Научно-исследовательская работа,Undirected,282,,3
Медиалогия,Анализ данных,Undirected,283,,2
Знание основ в области маркетинга,SWOT- и PEST-анализ,Undirected,284,,41
Microsoft Visio,Формирование технических заданий,Undirected,285,,20
Веб-аналитика,Битрикс,Undirected,286,,3
Целеустремленность и работоспособность,Создание презентационных материалов,Undirected,287,,29
Базовая инструментальная грамотность,Работа с оргтехникой,Undirected,291,,3
Бюджетирование,Анализ ценообразования,Undirected,292,,7
Базовые знания ПК,Статистическая обработка данных,Undirected,293,,6
Confluence,Информационная грамотность,Undirected,294,,6
Microsoft Excel,Коучинг и проведение тренингов,Undirected,295,,1
Проведение A/B тестирования,Анализ ценообразования,Undirected,296,,2
ARIS,Microsoft Dynamics AX,Undirected,297,,2
Управление проектами,MySQL,Undirected,298,,4
Администрирование сайтов,Публичные выступления и проведение презентаций,Undirected,299,,2
Визуализация данных,Коммуникативная грамотность,Undirected,300,,1
Обучаемость и адаптивность,QA / Тестирование,Undirected,301,,1
SWOT- и PEST-анализ,Научно-исследовательская работа,Undirected,302,,48
Java/Kotlin/Scala,Позитивное мышление,Undirected,303,,1
Microsoft Project,Ответственность и проактивность,Undirected,304,,1
Ведение финансовой отчетности,Создание презентационных материалов,Undirected,305,,2
Статистическая обработка данных,Ведение отчетности,Undirected,306,,9
Figma,Формирование технических заданий,Undirected,307,,2
Microsoft Project,Разработка 1С,Undirected,308,,2
DAX,Аналитическое мышление,Undirected,309,,3
"Знание, соблюдение и обеспечение техники безопасности","Знание, соблюдение и обеспечение техники безопасности",Undirected,310,,2
Клиентоориентированность,Коучинг и проведение тренингов,Undirected,311,,2
Google Docs,Информационная грамотность,Undirected,312,,3
Microsoft Excel,Анализ ценообразования,Undirected,313,,16
Google Analytics,Управление лояльностью клиентов,Undirected,314,,2
Google Docs,Лидерство и управление персоналом,Undirected,315,,2
Веб-аналитика,Организация и управление бизнес-процессами,Undirected,316,,2
Управление проектами,Знания в области робототехники,Undirected,317,,1
Управление продуктом,Базовые знания ПК,Undirected,318,,3
Научно-исследовательская работа,"Ремонт гаджетов, бытовой техники и оргтехники",Undirected,319,,1
Проведение валютных операций,Работа с биржами,Undirected,320,,4
Навыки работы с каналами сбыта продукции,Проведение маркетинговых исследований,Undirected,321,,2
Проведение маркетинговых исследований,"Использование моделей IaaS, PaaS, SaaS",Undirected,322,,16
Google Sheets,Управление и планирование продаж,Undirected,323,,6
Применение методологии IDEF,Научно-исследовательская работа,Undirected,324,,7
Oracle Database,Лидерство и управление персоналом,Undirected,325,,5
Microsoft Power BI,Анализ продаж,Undirected,326,,2
Работа с маркетплейсами,Коммуникативная грамотность,Undirected,327,,19
Анализ потребителей,Управление лояльностью клиентов,Undirected,328,,6
Ведение документооборота,Управление продуктом,Undirected,330,,9
Microsoft Excel,Ведение отчетности,Undirected,331,,13
Анализ данных,Юридическое сопровождение,Undirected,333,,2
Проведение интервью,Медиапланирование,Undirected,334,,2
Разработка нормативной документации,Формирование технических заданий,Undirected,335,,4
Работа в LMS-системах,Логическое мышление,Undirected,336,,3
Анализ данных,Ведение документооборота,Undirected,337,,11
Коммуникативная грамотность,Умение мотивировать и адаптировать персонал,Undirected,338,,30
Microsoft Project,Создание презентационных материалов,Undirected,339,,2
Самоорганизованность,Разработка нормативной документации,Undirected,340,,10
3D печать,Публичные выступления и проведение презентаций,Undirected,341,,4
Google Analytics,Управление производством,Undirected,342,,2
Microsoft Project,Знания в области силовой электроники,Undirected,344,,1
Поисковая оптимизация сайтов (SEO),Графический дизайн,Undirected,346,,8
Canva,Создание презентационных материалов,Undirected,347,,1
Консультирование и ведение клиентов,Ведение отчетности,Undirected,348,,4
Управление продуктом,Разработка айдентики бренда,Undirected,349,,2
Самоорганизованность,Разработка маркетинговых стратегий,Undirected,350,,1
Поиск и привлечение новых клиентов,Продажи,Undirected,351,,22
Анализ потребителей,Организаторские навыки,Undirected,352,,14
Проведение валютных операций,Анализ ценообразования,Undirected,353,,4
Разработка маркетинговых стратегий,Создание презентационных материалов,Undirected,355,,39
Медиалогия,Базовая инструментальная грамотность,Undirected,356,,2
Microsoft Excel,Самоорганизованность,Undirected,357,,28
Работа в системах управления проектами,Организация и управление бизнес-процессами,Undirected,358,,1
Знание английского языка,Информационная грамотность,Undirected,359,,33
Проведение A/B тестирования,Составление карты пути клиента (CJM),Undirected,360,,11
Базовые знания ПК,Химический анализ,Undirected,362,,2
Управление продуктом,Умение принимать решения,Undirected,363,,35
Анализ продаж,Управление ассортиментом,Undirected,364,,13
Проведение A/B тестирования,UI/UX Дизайн,Undirected,365,,7
Администрирование сайтов,Обучаемость и адаптивность,Undirected,366,,2
ARIS,Microsoft Visio,Undirected,368,,3
Ведение отчетности,Информационная грамотность,Undirected,369,,43
Проведение A/B тестирования,Управление и планирование продаж,Undirected,370,,3
Kubernetes,Самоорганизованность,Undirected,371,,2
Microsoft PowerPoint,Проведение закупок,Undirected,372,,2
Знание основ в области маркетинга,Веб-аналитика,Undirected,374,,71
Финансовый анализ,Работа в команде,Undirected,375,,13
ARIS,Business studio,Undirected,376,,3
Microsoft PowerPoint,Организаторские навыки,Undirected,377,,30
Креативное мышление,Самоорганизованность,Undirected,379,,17
Составление договоров,Ведение документооборота,Undirected,381,,1
SWOT- и PEST-анализ,IBM SPSS Statistics,Undirected,382,,2
Figma,Мобильная разработка (IOS),Undirected,383,,2
Логическое мышление,Управление проектами,Undirected,384,,130
Управление ассортиментом,Системное и интегративное мышление,Undirected,385,,8
Составление карты пути клиента (CJM),Microsoft Excel,Undirected,388,,10
Знание основ в области маркетинга,Расчетно-кассовое и операционное обслуживание,Undirected,389,,1
Проведение интервью,Организаторские навыки,Undirected,390,,20
DAX,Анализ рынка,Undirected,391,,8
Лидерство и управление персоналом,Провизорская деятельность,Undirected,392,,4
SWOT- и PEST-анализ,Системное и интегративное мышление,Undirected,393,,20
Управление производством,Microsoft Dynamics AX,Undirected,394,,2
Microsoft Excel,Microsoft Visio,Undirected,395,,1
Поисковая оптимизация сайтов (SEO),Системное и интегративное мышление,Undirected,396,,8
Логическое мышление,Консультирование и ведение клиентов,Undirected,397,,8
Оптимизация бизнес-процессов,Продвижение продукта,Undirected,398,,1
Oracle Database,Знание базовых принципов разработки,Undirected,399,,5
Adobe Photoshop,Ведение документооборота,Undirected,400,,1
Анализ данных,Математическое моделирование,Undirected,401,,2
Управление производством,Ведение документооборота,Undirected,402,,2
SWOT- и PEST-анализ,Разработка и внедрение системы KPI,Undirected,403,,3
Разработка сметной документации,Ведение финансовой отчетности,Undirected,404,,1
Написание статей,Консультирование и ведение клиентов,Undirected,405,,1
Взаимодействие с образовательными организациями,Математическое моделирование,Undirected,406,,1
Обучаемость и адаптивность,Работа с оргтехникой,Undirected,407,,1
PostgreSQL,Tableau,Undirected,408,,1
Креативное мышление,Работа в команде,Undirected,409,,40
Веб-аналитика,Настройка таргетированной рекламы,Undirected,410,,4
Работа в команде,Знания в области химической технологии,Undirected,411,,12
Поисковая оптимизация сайтов (SEO),Организаторские навыки,Undirected,412,,14
Знание испанского языка,Системное и интегративное мышление,Undirected,413,,5
Многозадачность,Разработка документации,Undirected,414,,2
Знание основ в области маркетинга,Анализ целевой аудитории,Undirected,415,,6
Лидерство,Базовые знания ПК,Undirected,416,,1
BPMN,Логическое мышление,Undirected,417,,6
Работа в CRM-системах,Работа в CRM-системах,Undirected,418,,2
Многозадачность,Анализ потребителей,Undirected,419,,3
Анализ инвестиционных проектов,Коммуникативная грамотность,Undirected,420,,6
Создание и дистрибуция контента,Управление и планирование продаж,Undirected,421,,2
Microsoft Power BI,Управленческое консультирование,Undirected,422,,6
Управление продуктом,Анализ продукта,Undirected,423,,1
AutoCAD,Публичные выступления и проведение презентаций,Undirected,424,,2
Анализ конкурентной среды,Обучаемость и адаптивность,Undirected,425,,17
Оптимизация бизнес-процессов,Оптимизация бизнес-процессов,Undirected,426,,12
Ведение документооборота,Креативное мышление,Undirected,427,,8
Умение принимать решения,Креативное мышление,Undirected,428,,1
Коммуникативная грамотность,Работа с конфликтами,Undirected,429,,18
Работа в CRM-системах,Управление проектами,Undirected,430,,44
Графический дизайн,Проведение интервью,Undirected,431,,4
Управление продуктом,Работа в LMS-системах,Undirected,433,,4
Продвижение в социальных сетях,Бюджетирование,Undirected,434,,1
Маркетинг,UI/UX Дизайн,Undirected,435,,7
Медиапланирование,Организация и проведение рекламных кампаний,Undirected,436,,4
Анализ потребителей,Проведение интервью,Undirected,437,,3
Проведение маркетинговых исследований,Ответственность и проактивность,Undirected,438,,4
QUIK,Купля-продажа финансовых активов,Undirected,439,,2
Ведение документооборота,Организация и управление бизнес-процессами,Undirected,440,,11
Организаторские навыки,Знания в области логистики,Undirected,441,,2
Визуализация данных,Работа в команде,Undirected,442,,2
Управление продуктом,Python,Undirected,443,,1
Организация и проведение рекламных кампаний,Участие в профессиональных выставках,Undirected,444,,5
Анализ ценообразования,Инициативность,Undirected,446,,4
Power Pivot,Создание презентационных материалов,Undirected,447,,2
Python,Продажи,Undirected,448,,1
Базовая инструментальная грамотность,Ведение отчетности,Undirected,449,,12
AppsFlyer,Анализ данных,Undirected,450,,3
Анализ конкурентной среды,Расчетно-кассовое и операционное обслуживание,Undirected,451,,1
Управление продуктом,Взаимодействие с клиентами и заказчиками,Undirected,452,,6
Kubernetes,Аналитическое мышление,Undirected,453,,2
Разработка 1С,Лидерство и управление персоналом,Undirected,454,,2
Microsoft Project,Продажи,Undirected,455,,3
Microsoft Project,Анализ данных,Undirected,456,,2
Проведение инвестиционных операций,Ведение документооборота,Undirected,457,,1
Лидерство и управление персоналом,Организаторские навыки,Undirected,458,,110
Составление карты пути клиента (CJM),Маркетинг,Undirected,459,,4
Проведение A/B тестирования,Веб-аналитика,Undirected,461,,2
Анализ рынка,QA / Тестирование,Undirected,462,,4
Продажи,Работа в системах управления проектами,Undirected,463,,7
Google Analytics,Маркетинг,Undirected,464,,2
Многозадачность,Организация учебного процесса,Undirected,465,,2
Анализ рынка,Оптимизация бизнес-процессов,Undirected,466,,7
Анализ рынка,Финансовый анализ,Undirected,467,,14
Применение методологии IDEF,Создание презентационных материалов,Undirected,468,,2
SWOT- и PEST-анализ,Базовая инструментальная грамотность,Undirected,469,,4
Организация и контроль промо-акций,Системное и интегративное мышление,Undirected,470,,1
